Date,Amount,Description,Category,Source
2019-08-02,-13.22,SQ *CURBSIDE BURGER,Dining,CAPITAL ONE VISA
2019-08-04,-12.64,802 KENMORE KIDD VALLEY,Dining,CAPITAL ONE VISA
2019-08-09,-7.0,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-08-10,-24.2,BEER STAR,Dining,CAPITAL ONE VISA
2019-08-11,-29.25,TST* ANJU BAR AND EATERY,Dining,CAPITAL ONE VISA
2019-08-15,-5.96,BON APPETIT   51236289,Dining,CAPITAL ONE VISA
2019-08-16,-10.72,JIMMY JOHNS # 1349,Dining,CAPITAL ONE VISA
2019-08-16,-49.25,MIOPOSTO - MERCER ISLAND,Dining,CAPITAL ONE VISA
2019-08-18,-8.66,SAMS TAVERN SLU,Dining,CAPITAL ONE VISA
2019-08-19,-18.81,BON APPETIT   51236289,Dining,CAPITAL ONE VISA
2019-08-20,-5.78,BON APPETIT   51236289,Dining,CAPITAL ONE VISA
2019-08-21,-32.53,ZEEKS PIZZA-CAPITOL HILL,Dining,CAPITAL ONE VISA
2019-08-22,-8.38,BON APPETIT   51236289,Dining,CAPITAL ONE VISA
2019-08-23,-20.0,TST* JACK S BBQ,Dining,CAPITAL ONE VISA
2019-08-25,-8.46,MCDONALD'S F11027,Dining,CAPITAL ONE VISA
2019-08-25,-32.69,DOOFERS BAR AND GRILL,Dining,CAPITAL ONE VISA
2019-08-27,-4.61,BON APPETIT   51236289,Dining,CAPITAL ONE VISA
2019-08-28,234.16,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,CAPITAL ONE VISA
2019-08-30,-11.28,MCDONALD'S F17336,Dining,CAPITAL ONE VISA
2019-08-31,-7.92,MCDONALD'S F17336,Dining,CAPITAL ONE VISA
2019-09-01,-7.92,MCDONALD'S F17336,Dining,CAPITAL ONE VISA
2019-09-03,-9.4,BON APPETIT   51236289,Dining,CAPITAL ONE VISA
2019-09-06,-12.98,MCDONALD'S F10755,Dining,CAPITAL ONE VISA
2019-09-06,-17.84,USPS PO 5476400041,Other Services,CAPITAL ONE VISA
2019-09-08,-10.11,MCDONALD'S F11027,Dining,CAPITAL ONE VISA
2019-09-09,-17.07,SIREN STORE 50621,Dining,CAPITAL ONE VISA
2019-09-09,-38.76,LATONA PUB,Dining,CAPITAL ONE VISA
2019-09-13,-11.11,MCDONALD'S F435,Dining,CAPITAL ONE VISA
2019-09-14,-5.25,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-09-17,-11.44,MCDONALD'S F10755,Dining,CAPITAL ONE VISA
2019-09-18,-10.11,PAYBYPHONE DIAMOND PAR,Gas/Automotive,CAPITAL ONE VISA
2019-09-19,-4.4,MCDONALD'S F12175,Dining,CAPITAL ONE VISA
2019-09-20,-9.34,MCDONALD'S F11027,Dining,CAPITAL ONE VISA
2019-09-21,-8.43,MCDONALD'S M6154 OF NV,Dining,CAPITAL ONE VISA
2019-09-21,-6.0,ALASKA AIR IN FLIGHT,Dining,CAPITAL ONE VISA
2019-09-21,-19.6,7543 Dominos Pizza,Dining,CAPITAL ONE VISA
2019-09-21,-10.3,ARBY'S 8421,Dining,CAPITAL ONE VISA
2019-09-23,-5.9,MCDONALD'S F24037,Dining,CAPITAL ONE VISA
2019-09-24,-9.55,WENDY'S 8841,Dining,CAPITAL ONE VISA
2019-09-26,-4.7,BON APPETIT   51236289,Dining,CAPITAL ONE VISA
2019-09-27,-10.11,PAYBYPHONE DIAMOND PAR,Gas/Automotive,CAPITAL ONE VISA
2019-09-28,306.06,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,CAPITAL ONE VISA
2019-09-30,-9.34,MCDONALD'S F11027,Dining,CAPITAL ONE VISA
2019-09-30,-6.55,SIREN STORE 50621,Dining,CAPITAL ONE VISA
2019-10-02,-4.24,CHICK-FIL-A #03392,Dining,CAPITAL ONE VISA
2019-10-02,-27.5,FEDERAL WAY INDOOR RANGE,Merchandise,CAPITAL ONE VISA
